,Name,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
304,Brae,100,GB,1584231537,93,60.4,-1.35,280.15,4.6
305,Grootfontein,75,NA,1584231622,71,-19.57,18.12,292.06,1.1
306,Terråk,100,NO,1584231626,64,65.09,12.37,275.15,11.3
307,Gonder,99,ET,1584231628,54,12.6,37.47,288.73,2.0
308,Lagoa,16,PT,1584231630,81,39.05,-27.98,288.65,4.48
309,Vestmannaeyjar,33,IS,1584231632,66,63.44,-20.27,270.45,8.05
310,Khatanga,100,RU,1584231634,86,71.97,102.5,269.86,4.32
311,Darnah,88,LY,1584231636,75,32.77,22.64,289.95,8.35
312,Den Helder,75,NL,1584231639,93,52.96,4.76,282.04,9.8
313,Tlacotepec (San Mateo),71,MX,1584231641,87,20.07,-97.87,289.12,2.37
314,Tocopilla,21,CL,1584231643,54,-22.09,-70.2,289.95,0.98
315,Bairiki Village,20,KI,1584231485,70,1.33,172.98,304.15,4.1
316,Sri Aman,100,MY,1584231647,100,1.24,111.46,297.15,0.76
317,Lodja,14,CD,1584231649,86,-3.48,23.43,294.52,0.69
318,Mitsamiouli,100,KM,1584231651,74,-11.38,43.28,301.86,3.57
319,Rameswaram,3,IN,1584231654,73,9.28,79.3,300.02,5.0
320,Rabo de Peixe,20,PT,1584231656,82,37.8,-25.58,286.15,3.1
321,Rocha,76,UY,1584231634,76,-34.48,-54.33,292.57,4.25
322,Mariehamn,0,AX,1584231469,55,60.1,19.93,274.15,4.1
323,Redcliffe,75,AU,1584231662,57,-27.23,153.1,298.71,5.7
324,Parabel',100,RU,1584231664,97,58.7,81.48,274.2,6.04
325,Kayanza Province,100,BI,1584231666,93,-3.07,29.67,287.75,0.57
326,Bonavista,42,CA,1584231668,82,48.65,-53.11,274.26,8.94
327,Ancud,39,CL,1584231673,71,-41.87,-73.82,285.15,3.1
328,Garoowe,83,SO,1584231675,76,8.41,48.48,296.4,5.04
329,Verāval,98,IN,1584231677,27,20.9,70.37,293.54,6.48
330,Mangochi,99,MW,1584231679,93,-14.48,35.26,292.1,1.25
331,Niquelândia,84,BR,1584231681,92,-14.47,-48.46,294.68,0.32
332,Stornoway,41,GB,1584231684,87,58.21,-6.39,279.26,9.3
333,Faridabad,20,IN,1584231686,93,28.43,77.32,287.15,0.71
